tanggal,pm_duakomalima
2021-01-01,58.0
2021-01-02,86.0
2021-01-03,93.0
2021-01-04,67.0
2021-01-05,89.0
2021-01-06,81.0
2021-01-07,52.0
2021-01-08,68.0
2021-01-09,77.0
2021-01-10,39.0
2021-01-11,72.0
2021-01-12,58.0
2021-01-13,47.0
2021-01-14,78.0
2021-01-15,82.0
2021-01-16,92.0
2021-01-17,86.0
2021-01-18,64.0
2021-01-19,56.0
2021-01-20,75.0
2021-01-21,93.0
2021-01-22,112.0
2021-01-23,126.0
2021-01-24,90.0
2021-01-25,95.0
2021-01-26,79.0
2021-01-27,37.0
2021-01-28,49.0
2021-01-29,53.0
2021-01-30,39.0
2021-01-31,55.0
2021-02-01,126.0
2021-02-02,70.0
2021-02-03,53.0
2021-02-04,59.0
2021-02-05,51.0
2021-02-06,53.0
2021-02-07,55.0
2021-02-08,44.0
2021-02-09,57.0
2021-02-10,64.0
2021-02-11,57.0
2021-02-12,98.0
2021-02-13,89.0
2021-02-14,73.0
2021-02-15,66.0
2021-02-16,63.0
2021-02-17,71.0
2021-02-18,70.0
2021-02-19,52.0
2021-02-20,63.0
2021-02-21,52.0
2021-02-22,103.0
2021-02-23,90.0
2021-02-24,61.0
2021-02-25,54.0
2021-02-26,75.0
2021-02-27,94.0
2021-02-28,113.0
2021-03-01,97.0
2021-03-02,81.0
2021-03-03,92.0
2021-03-04,103.0
2021-03-05,81.0
2021-03-06,95.0
2021-03-07,103.0
2021-03-08,81.0
2021-03-09,63.0
2021-03-10,91.0
2021-03-11,53.0
2021-03-12,99.0
2021-03-13,72.0
2021-03-14,73.0
2021-03-15,92.0
2021-03-16,101.0
2021-03-17,123.0
2021-03-18,125.0
2021-03-19,96.0
2021-03-20,106.0
2021-03-21,118.0
2021-03-22,93.0
2021-03-23,77.0
2021-03-24,64.0
2021-03-25,68.0
2021-03-26,83.0
2021-03-27,91.0
2021-03-28,78.0
2021-03-29,91.0
2021-03-30,76.0
2021-03-31,69.0
2021-04-01,52.0
2021-04-02,70.0
2021-04-03,67.0
2021-04-04,103.0
2021-04-05,85.0
2021-04-06,61.0
2021-04-07,52.0
2021-04-08,57.0
2021-04-09,77.0
2021-04-10,101.0
2021-04-11,108.0
2021-04-12,93.0
2021-04-13,82.0
2021-04-14,81.0
2021-04-15,88.0
2021-04-16,94.0
2021-04-17,118.0
2021-04-18,93.0
2021-04-19,108.0
2021-04-20,94.0
2021-04-21,105.0
2021-04-22,99.0
2021-04-23,112.0
2021-04-24,115.0
2021-04-25,116.0
2021-04-26,117.0
2021-04-27,138.0
2021-04-28,94.0
2021-04-29,85.0
2021-04-30,91.0
2021-05-01,102.0
2021-05-02,89.0
2021-05-03,95.0
2021-05-04,113.0
2021-05-05,117.0
2021-05-06,77.0
2021-05-07,83.0
2021-05-08,87.0
2021-05-09,66.0
2021-05-10,76.0
2021-05-11,102.0
2021-05-12,105.0
2021-05-13,115.0
2021-05-14,81.0
2021-05-15,89.0
2021-05-16,92.0
2021-05-17,75.0
2021-05-18,58.0
2021-05-19,99.0
2021-05-20,103.0
2021-05-21,95.0
2021-05-22,90.0
2021-05-23,109.0
2021-05-24,118.0
2021-05-25,70.0
2021-05-26,93.0
2021-05-27,79.0
2021-05-28,93.0
2021-05-29,91.0
2021-05-30,72.0
2021-05-31,93.0
2021-06-01,105.0
2021-06-02,100.0
2021-06-03,93.0
2021-06-04,100.0
2021-06-05,93.0
2021-06-06,95.0
2021-06-07,90.0
2021-06-08,103.0
2021-06-09,108.0
2021-06-10,108.0
2021-06-11,99.0
2021-06-12,93.0
2021-06-13,80.0
2021-06-14,103.0
2021-06-15,114.0
2021-06-16,97.0
2021-06-17,102.0
2021-06-18,102.0
2021-06-19,102.0
2021-06-20,140.0
2021-06-21,90.0
2021-06-22,84.0
2021-06-23,107.0
2021-06-24,119.0
2021-06-25,147.0
2021-06-26,118.0
2021-06-27,134.0
2021-06-28,117.0
2021-06-29,128.0
2021-06-30,125.0
2021-07-01,114.0
2021-07-02,108.0
2021-07-03,141.0
2021-07-04,161.0
2021-07-05,153.0
2021-07-06,102.0
2021-07-07,130.0
2021-07-08,145.0
2021-07-09,156.0
2021-07-10,132.0
2021-07-11,119.0
2021-07-12,114.0
2021-07-13,119.0
2021-07-14,116.0
2021-07-15,174.0
2021-07-16,138.0
2021-07-17,134.0
2021-07-18,150.0
2021-07-19,140.0
2021-07-20,147.0
2021-07-21,102.0
2021-07-22,110.0
2021-07-23,104.0
2021-07-24,104.0
2021-07-25,148.0
2021-07-26,131.0
2021-07-27,140.0
2021-07-28,145.0
2021-07-29,140.0
2021-07-30,154.0
2021-07-31,100.0
2021-08-01,86.0
2021-08-02,81.0
2021-08-03,104.0
2021-08-04,89.0
2021-08-05,90.0
2021-08-06,105.0
2021-08-07,101.0
2021-08-08,92.0
2021-08-09,82.0
2021-08-10,68.0
2021-08-11,102.0
2021-08-12,104.0
2021-08-13,101.0
2021-08-14,116.0
2021-08-15,114.0
2021-08-16,100.0
2021-08-17,103.0
2021-08-18,97.0
2021-08-19,119.0
2021-08-20,106.0
2021-08-21,89.0
2021-08-22,134.0
2021-08-23,106.0
2021-08-24,110.0
2021-08-25,106.0
2021-08-26,96.0
2021-08-27,105.0
2021-08-28,123.0
2021-08-29,122.0
2021-08-30,140.0
2021-08-31,109.0
2021-09-01,118.0
2021-09-02,115.0
2021-09-03,111.0
2021-09-04,93.0
2021-09-05,120.0
2021-09-06,109.0
2021-09-07,86.0
2021-09-08,106.0
2021-09-09,88.0
2021-09-10,80.0
2021-09-11,109.0
2021-09-12,111.0
2021-09-13,88.0
2021-09-14,61.0
2021-09-15,110.0
2021-09-16,89.0
2021-09-17,85.0
2021-09-18,101.0
2021-09-19,83.0
2021-09-20,81.0
2021-09-21,99.0
2021-09-22,119.0
2021-09-23,116.0
2021-09-24,109.0
2021-09-25,102.0
2021-09-26,98.0
2021-09-27,89.0
2021-09-28,71.0
2021-09-29,102.0
2021-09-30,117.0
2021-10-01,91.0
2021-10-02,127.0
2021-10-03,96.0
2021-10-04,110.0
2021-10-05,90.0
2021-10-06,103.0
2021-10-07,77.0
2021-10-08,98.0
2021-10-09,83.0
2021-10-10,97.0
2021-10-11,100.0
2021-10-12,111.0
2021-10-13,91.0
2021-10-14,131.0
2021-10-15,157.0
2021-10-16,122.0
2021-10-17,126.0
2021-10-18,88.0
2021-10-19,81.0
2021-10-20,96.0
2021-10-21,108.0
2021-10-22,120.0
2021-10-23,109.0
2021-10-24,113.0
2021-10-25,104.0
2021-10-26,130.0
2021-10-27,90.0
2021-10-28,78.0
2021-10-29,79.0
2021-10-30,103.0
2021-10-31,79.0
2021-11-01,91.0
2021-11-02,77.0
2021-11-03,83.0
2021-11-04,95.0
2021-11-05,95.0
2021-11-06,86.0
2021-11-07,81.0
2021-11-08,73.0
2021-11-09,106.0
2021-11-10,100.0
2021-11-11,71.0
2021-11-12,63.0
2021-11-13,82.0
2021-11-14,68.0
2021-11-15,58.0
2021-11-16,82.0
2021-11-17,99.0
2021-11-18,106.0
2021-11-19,45.0
2021-11-20,58.0
2021-11-21,76.0
2021-11-22,45.0
2021-11-23,55.0
2021-11-24,59.0
2021-11-25,83.0
2021-11-26,78.0
2021-11-27,65.0
2021-11-28,62.0
2021-11-29,59.0
2021-11-30,66.0
2021-12-01,100.0
2021-12-02,56.0
2021-12-03,71.0
2021-12-04,65.0
2021-12-05,80.0
2021-12-06,91.0
2021-12-07,58.0
2021-12-08,76.0
2021-12-09,63.0
2021-12-10,73.0
2021-12-11,60.0
2021-12-12,63.0
2021-12-13,68.0
2021-12-14,76.0
2021-12-15,124.0
2021-12-16,136.0
2021-12-17,81.0
2021-12-18,69.0
2021-12-19,102.0
2021-12-20,86.0
2021-12-21,92.0
2021-12-22,98.0
2021-12-23,99.0
2021-12-24,65.0
2021-12-25,85.0
2021-12-26,71.0
2021-12-27,121.0
