tanggal;actual;predicted
11/05/2023;109;104
12/05/2023;59;103
13/05/2023;89;81
14/05/2023;78;89
15/05/2023;102;89
16/05/2023;104;94
17/05/2023;114;101
18/05/2023;113;106
19/05/2023;114;104
20/05/2023;119;106
21/05/2023;118;111
22/05/2023;97;108
23/05/2023;115;103
24/05/2023;170;108
25/05/2023;136;136
26/05/2023;135;125
27/05/2023;139;124
28/05/2023;115;128
29/05/2023;126;117
30/05/2023;128;119
31/05/2023;110;125
01/06/2023;111;116
02/06/2023;136;113
03/06/2023;116;128
04/06/2023;117;117
05/06/2023;105;115
06/06/2023;105;113
07/06/2023;102;108
08/06/2023;118;106
09/06/2023;115;114
10/06/2023;106;113
11/06/2023;116;107
12/06/2023;113;113
13/06/2023;133;110
14/06/2023;102;119
15/06/2023;121;107
16/06/2023;108;114
17/06/2023;85;109
18/06/2023;112;99
19/06/2023;83;109
20/06/2023;102;97
21/06/2023;108;103
22/06/2023;119;106
23/06/2023;98;113
24/06/2023;92;101
25/06/2023;104;98
26/06/2023;93;104
27/06/2023;113;96
28/06/2023;84;107
29/06/2023;64;95
30/06/2023;77;84
01/07/2023;98;87
02/07/2023;83;97
03/07/2023;97;90
04/07/2023;88;95
05/07/2023;119;94
06/07/2023;113;102
07/07/2023;107;105
08/07/2023;98;102
09/07/2023;92;99
10/07/2023;84;95
11/07/2023;151;93
12/07/2023;136;121
13/07/2023;120;122
14/07/2023;104;112
15/07/2023;90;109
16/07/2023;101;100
17/07/2023;97;102
18/07/2023;114;102
19/07/2023;130;111
20/07/2023;110;116
21/07/2023;112;112
22/07/2023;125;110
23/07/2023;146;115
24/07/2023;104;125
25/07/2023;117;108
26/07/2023;124;114
27/07/2023;129;118
28/07/2023;129;119
29/07/2023;117;122
30/07/2023;129;117
31/07/2023;115;121
01/08/2023;103;114
02/08/2023;99;111
03/08/2023;106;106
04/08/2023;110;109
05/08/2023;111;110
06/08/2023;118;110
07/08/2023;139;114
08/08/2023;105;122
09/08/2023;104;109
10/08/2023;102;106
11/08/2023;119;106
12/08/2023;126;112
13/08/2023;128;116
14/08/2023;115;119
15/08/2023;122;114
16/08/2023;138;115
17/08/2023;111;125
18/08/2023;82;112
19/08/2023;127;100
20/08/2023;113;117
21/08/2023;105;113
22/08/2023;123;107
23/08/2023;110;118
24/08/2023;114;112
25/08/2023;112;109
26/08/2023;96;111
27/08/2023;139;105
28/08/2023;98;118
29/08/2023;108;107
30/08/2023;113;108
31/08/2023;108;110
01/09/2023;117;109
02/09/2023;112;111
03/09/2023;102;111
04/09/2023;96;107
05/09/2023;134;100
06/09/2023;104;120
07/09/2023;121;107
08/09/2023;117;112
09/09/2023;111;114
10/09/2023;99;109
11/09/2023;126;104
12/09/2023;152;116
13/09/2023;107;130
14/09/2023;93;109
15/09/2023;108;105
16/09/2023;113;109
17/09/2023;110;110
18/09/2023;86;109
19/09/2023;109;101
20/09/2023;98;107
21/09/2023;101;102
22/09/2023;93;104
23/09/2023;111;100
24/09/2023;92;105
25/09/2023;114;98
26/09/2023;249;106
27/09/2023;217;171
28/09/2023;287;163
29/09/2023;143;193
01/10/2023;199;143
02/10/2023;122;158
03/10/2023;93;132
04/10/2023;115;119
05/10/2023;123;130
06/10/2023;111;130
07/10/2023;141;131
08/10/2023;148;132
09/10/2023;122;148
10/10/2023;121;118
11/10/2023;106;122
12/10/2023;123;113
13/10/2023;121;116
14/10/2023;110;117
15/10/2023;117;115
16/10/2023;122;115
17/10/2023;129;118
18/10/2023;122;121
19/10/2023;116;117
20/10/2023;106;116
21/10/2023;109;109
22/10/2023;114;110
23/10/2023;133;113
24/10/2023;107;121
25/10/2023;103;111
26/10/2023;114;107
27/10/2023;116;112
28/10/2023;122;112
29/10/2023;150;115
30/10/2023;108;129
31/10/2023;108;113
01/11/2023;104;108
02/11/2023;109;110
03/11/2023;108;109
04/11/2023;124;108
05/11/2023;74;117
06/11/2023;92;97
07/11/2023;107;97
08/11/2023;92;108
09/11/2023;109;98
10/11/2023;109;105
11/11/2023;91;107
12/11/2023;93;98
13/11/2023;94;95
14/11/2023;109;100
15/11/2023;79;102
16/11/2023;95;91
17/11/2023;87;98
18/11/2023;120;93
19/11/2023;88;106
20/11/2023;88;96
21/11/2023;89;93
22/11/2023;74;94
23/11/2023;93;85
24/11/2023;112;94
25/11/2023;101;102
26/11/2023;75;100
27/11/2023;77;86
28/11/2023;96;88
29/11/2023;105;94
30/11/2023;67;98
